Emp_id,Title_name,From_date,To_date
10089,President & CEO,2004-8-19,
10131,DÝrector of HR,2006-5-9,
10134,Shared Services Manager,2006-9-25,
10010,Director of Software Engineering,2007-12-28,
10272,Director of Sales,2008-7-2,
10090,Director of Business Analyst,2009-12-10,
10238,Accountant I,2005-8-19,
10182,Administrative Assistant,2004-1-1,
10038,Accountant I,2004-10-21,
10039,Administrative Assistant,2010-5-24,
10153,Administrative Assistant,2010-8-26,
10147,Accountant I,2010-9-29,
10259,Data Analyst,2012-8-3,
10016,Data Analyst,2012-9-13,
10162,Data Analyst,2015-7-3,
10149,Principal Data Architect,2016-12-14,
10229,Data Analyst,2017-1-23,
10178,Data Analyst,2017-8-16,
10118,Database Administrator,2017-10-19,
10043,Business Consultant,2018-10-19,
10288,Marketing Specialist,2018-11-27,
10198,Marketing Specialist,2019-11-6,
10222,Marketing Specialist,2020-11-19,
10150,Software Engineer,2020-11-24,
10008,Product Manager,2021-3-17,
10119,Product Manager,2009-8-24,
10220,Product Manager,2010-8-25,
10273,Product Manager,2011-11-25,
10151,Product Manager,2012-2-22,
10179,System Analyst,2012-7-26,
10180,System Analyst,2012-10-4,
10044,System Analyst,2010-8-9,
10045,System Analyst,2010-12-1,
10127,System Analyst,2012-5-18,
10194,Software Engineer,2012-8-6,
10085,Software Developer,2013-1-3,
10155,Software Developer,2013-8-8,
10290,Software Developer,2013-12-19,
10110,Software Design Engineer,2014-8-4,
10005,Software Design Engineer,2017-3-20,
10126,Software Design Engineer,2017-7-5,
10024,Software Engineer,2017-7-31,
10102,Software Engineer,2018-1-30,
10091,HR Representetive,2018-4-6,
10141,HR Representetive,2018-6-14,
10270,HR Representetive,2019-5-21,
10048,HR Representetive,2020-1-10,
10302,HR Representetive,2020-8-7,
10123,Staffing Coordinator,2021-1-21,
10033,Staffing Coordinator,2021-4-19,
10301,Staffing Coordinator,2009-2-16,
10311,Staffing Coordinator,2011-7-15,
10232,Requirements Manager,2012-5-1,
10079,Requirements Manager,2012-12-18,
10239,Business Consultant,2013-3-14,
10086,Business Consultant,2013-3-28,
10173,Business Consultant,2015-12-31,
10172,Business Consultant,2016-5-13,
10030,Financial Planner,2017-1-24,
10287,Financial Planner,2017-2-16,
10174,Financial Planner,2017-5-8,
10271,Financial Planner,2017-6-19,
10099,Financial Planner,2018-11-16,
10244,Financial Advisor,2019-1-25,
10291,Financial Advisor,2005-7-20,
10169,Staffing Specialist,2006-5-31,
10027,Staffing Specialist,2008-6-26,
10209,Staffing Specialist,2008-7-4,
10146,Staffing Specialist,2008-7-30,
10293,HR Manager,2008-10-1,
10188,Sales Coordinator,2010-10-15,
10040,Sales Coordinator,2011-4-28,
10306,Sales Coordinator,2011-9-29,
10304,Sales Coordinator,2012-4-5,
10142,Investments Representative,2013-5-27,
10109,Investments Representative,2013-9-5,
10167,Investments Representative,2013-1-10,
10165,Investments Representative,2013-5-29,
10103,Investments Representative,2013-11-8,
10295,Software Tester,2015-6-12,
10233,Software Tester,2015-7-1,
10266,Software Tester,2015-12-30,
10022,Software Tester,2016-5-18,
10157,Quality Assurance Engineer,2017-6-6,
10190,Quality Assurance Engineer,2018-2-7,
10204,Quality Assurance Engineer,2018-3-21,
10264,Quality Assurance Engineer,2019-2-12,
10065,HR Assistant,2016-5-18,
10278,HR Assistant,2005-1-27,
10014,HR Assistant,2007-4-18,
10135,HR Assistant,2007-5-1,
10231,Wealth Management Advisor,2007-8-28,
10202,Wealth Management Advisor,2007-12-20,
10042,Wealth Management Advisor,2008-12-26,
10121,Wealth Management Advisor,2009-2-18,
10124,Wealth Management Advisor,2009-5-15,
10307,Sales Representative,2010-3-12,
10161,Sales Representative,2011-2-16,
10013,Sales Representative,2013-1-10,
10260,HR Supervisor,2007-3-9,
10095,HR Supervisor,2007-9-19,
10117,HR Supervisor,2010-8-10,
10183,HR Supervisor,2010-9-6,
10221,Regional Sales Manager,2011-2-17,
10268,Regional Sales Manager,2012-3-6,
10072,Regional Sales Manager,2012-3-26,
10071,Software Developer,2012-10-31,
10215,Software Developer,2013-2-12,
10078,HR Supervisor,2013-2-19,
10286,HR Supervisor,2013-5-15,
